description,unit_price
CHANA BIG-500g,44.5
W MDONG,98.5
RAJMA WHITE-500g,74.5
ECOTURDAL,89.0
SDNA MASURI RAICHU-,37.5
BROKEN RAW RICE,34.0
RAWA BOMBAY-,37.5
BESAN-,65.0
JAGGERY PREMIUM--900g,54.5
POHA JADA-1kg,
SARAVANA'S PALAK-100g,9.0
SARAVANA' TOMAT-100g,10.0
SARAVANASSEERAA 100g,
SALT-1kg,11
BLACK-200g,11
KART ROUND C-7g,11
KRISHNA RAKHI 2020,10.0
MILKYMI ST PANEE-200g,39.0
L W MOONG,118.5
190590 MODERN FAMILY 400g,45.0
040610  @ MILKYMIST PANE-200g,83.0
180631  @ CADBURY DAI MIL 33g,33.0
190531 KARACHIS FRUIT-400g,135.0
960810 LINC PENTONIC GEL P,45.0
0- JL R/C Racing Car 031801,38.0
0J LIL 6i / VoA Himalaya Soap 125gm 6s P/0,6.9
iss A11 3443 Jerg.Sft.B/Crm Soft.Musk 250m,13.2
daL NL Ja3 011 Jerg.Soap Soft.Musk 125g 5:1,11.5
Jos All Funskool Dinnerware Set253600,57.0
Himalaya Soap 125gm 6s P/0,8.9
LAYS HSN WAFER MAGIC 95G : 2005 UOM :,0.0
LAYS HSN WAFER AMER 177G : 2005 UOM :,10.0
NIVE HSN S  SHOWERGEL 250ML : 3401 9% UOM : 147.46,23.8
NIVEA HSN SKINSOFT 300ML : 3304 UOM :,36.98
LIZOL HSN C S   CLNR JASMNE 2L : 3808 9% 9% UOM 266:,0.0


